Paesi,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
HUNGARY,39240.0,39833.0,37315.0,33624.0,28803.0,31141.0,30679.0,31739.0,31412.0,33934.0,36173.0,38318.0,39379.0,39554.0,40624.0,39904.0,41304.0,43565.0,43611.0,45984.0,48345.0,52890.0,54962.0,57667.0,61397.0,31641.0
ICELAND,211.0,223.0,223.0,255.0,281.0,328.0,329.0,315.0,348.0,405.0,429.0,477.0,539.0,561.0,563.0,559.0,628.0,765.0,900.0,1102.0,1389.0,1891.0,2353.0,2488.0,2202.0,488.0
INDIA,2143.0,2308.0,2395.0,2382.0,2508.0,2677.0,2591.0,2428.0,2774.0,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,,,,,,,,,,
INDONESIA,4324.0,5034.0,5185.0,4606.0,4728.0,5064.0,5153.0,5033.0,4467.0,5321.0,5002.0,4871.0,5506.0,6234.0,6324.0,7003.0,7650.0,8044.0,8802.0,9435.0,10407.0,11519.0,14040.0,15810.0,16107.0,4053.0
"IRAN, ISLAMIC REPUBLIC OF",452.0,573.0,764.0,1008.0,1321.0,1342.0,1402.0,1585.0,1546.0,1659.0,1889.0,2735.0,2219.0,2034.0,2116.0,2938.0,3354.0,3834.0,4769.0,4968.0,5237.0,4942.0,4867.0,7295.0,9107.0,1550.0
IRAQ,61.0,51.0,15.0,45.0,30.0,78.0,127.0,,,,,,,864.0,1262.0,1518.0,1510.0,1111.0,892.0,,,,,,,
IRELAND,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL,2530.0,2360.0,2295.0,2200.0,2566.0,2672.0,1219.0,862.1,,1505.8,1916.0,1834.0,2294.0,3034.0,2740.0,3444.0,3362.0,3520.0,3540.0,3251.0,3109.0,3070.0,3863.0,4389.0,4905.0,887.0
ITALY,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0
JAMAICA,1752.0,1821.0,1904.0,1899.0,2013.0,2230.0,2117.0,2131.0,2483.0,2515.0,2615.0,3016.0,2880.0,2859.0,2753.0,2832.0,3077.0,3306.0,3274.0,3504.0,3692.0,3837.0,4276.0,4319.0,4233.0,1329.7
